"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Age-Adjusted Rate	Crude Rate
	"All Sites Combined"	"00"	"Hawaii"	"15"	"Male"	"M"	"White"	"2106-3"	14157	2207496	583.8	641.3
	"All Sites Combined"	"00"	"Idaho"	"16"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	273	143664	254.9	190.0
	"All Sites Combined"	"00"	"Idaho"	"16"	"Female"	"F"	"Black or African American"	"2054-5"	52	66305	238.0	78.4
	"All Sites Combined"	"00"	"Idaho"	"16"	"Female"	"F"	"White"	"2106-3"	38101	8921871	409.0	427.1
	"All Sites Combined"	"00"	"Idaho"	"16"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	192	125045	284.6	153.5
	"All Sites Combined"	"00"	"Idaho"	"16"	"Male"	"M"	"Black or African American"	"2054-5"	124	85193	443.2	145.6
	"All Sites Combined"	"00"	"Idaho"	"16"	"Male"	"M"	"White"	"2106-3"	44265	8969713	536.0	493.5
	"All Sites Combined"	"00"	"Illinois"	"17"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3710831	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Illinois"	"17"	"Female"	"F"	"Black or African American"	"2054-5"	51626	13438855	433.4	384.2
	"All Sites Combined"	"00"	"Illinois"	"17"	"Female"	"F"	"White"	"2106-3"	336506	66112731	440.6	509.0
	"All Sites Combined"	"00"	"Illinois"	"17"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3520181	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Illinois"	"17"	"Male"	"M"	"Black or African American"	"2054-5"	54732	11887774	663.3	460.4
	"All Sites Combined"	"00"	"Illinois"	"17"	"Male"	"M"	"White"	"2106-3"	347135	64642622	568.2	537.0
	"All Sites Combined"	"00"	"Indiana"	"18"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	990	621027	261.0	159.4
	"All Sites Combined"	"00"	"Indiana"	"18"	"Female"	"F"	"Black or African American"	"2054-5"	13524	3979092	420.4	339.9
	"All Sites Combined"	"00"	"Indiana"	"18"	"Female"	"F"	"White"	"2106-3"	180926	36811749	426.5	491.5
	"All Sites Combined"	"00"	"Indiana"	"18"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	697	594701	283.4	117.2
	"All Sites Combined"	"00"	"Indiana"	"18"	"Male"	"M"	"Black or African American"	"2054-5"	13845	3682158	596.6	376.0
	"All Sites Combined"	"00"	"Indiana"	"18"	"Male"	"M"	"White"	"2106-3"	183751	35731578	535.6	514.3
	"All Sites Combined"	"00"	"Iowa"	"19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	497	325118	252.4	152.9
	"All Sites Combined"	"00"	"Iowa"	"19"	"Female"	"F"	"Black or African American"	"2054-5"	1301	542173	426.6	240.0
	"All Sites Combined"	"00"	"Iowa"	"19"	"Female"	"F"	"White"	"2106-3"	101631	18681169	434.4	544.0
	"All Sites Combined"	"00"	"Iowa"	"19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	425	320085	355.8	132.8
	"All Sites Combined"	"00"	"Iowa"	"19"	"Male"	"M"	"Black or African American"	"2054-5"	1686	596889	651.8	282.5
	"All Sites Combined"	"00"	"Iowa"	"19"	"Male"	"M"	"White"	"2106-3"	107633	18087559	559.6	595.1
	"All Sites Combined"	"00"	"Kansas"	"20"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	440005	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Kansas"	"20"	"Female"	"F"	"Black or African American"	"2054-5"	3819	1155713	431.9	330.4
	"All Sites Combined"	"00"	"Kansas"	"20"	"Female"	"F"	"White"	"2106-3"	79621	16307887	418.5	488.2
	"All Sites Combined"	"00"	"Kansas"	"20"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	417532	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Kansas"	"20"	"Male"	"M"	"Black or African American"	"2054-5"	4330	1184566	644.1	365.5
	"All Sites Combined"	"00"	"Kansas"	"20"	"Male"	"M"	"White"	"2106-3"	86510	15942426	548.2	542.6
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	313047	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Female"	"F"	"Black or African American"	"2054-5"	8670	2218546	457.7	390.8
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Female"	"F"	"White"	"2106-3"	133800	25152002	456.7	532.0
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	287898	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Male"	"M"	"Black or African American"	"2054-5"	9356	2147110	683.0	435.7
	"All Sites Combined"	"00"	"Kentucky"	"21"	"Male"	"M"	"White"	"2106-3"	146056	24207196	613.4	603.4
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	804	453221	243.0	177.4
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Female"	"F"	"Black or African American"	"2054-5"	35348	10009225	411.8	353.2
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Female"	"F"	"White"	"2106-3"	94636	19157719	415.5	494.0
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	829	450899	313.3	183.9
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Male"	"M"	"Black or African American"	"2054-5"	41480	9016919	680.8	460.0
	"All Sites Combined"	"00"	"Louisiana"	"22"	"Male"	"M"	"White"	"2106-3"	112418	18616296	595.8	603.9
	"All Sites Combined"	"00"	"Maine"	"23"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	172	94163	286.8	182.7
	"All Sites Combined"	"00"	"Maine"	"23"	"Female"	"F"	"Black or African American"	"2054-5"	110	83956	301.6	131.0
	"All Sites Combined"	"00"	"Maine"	"23"	"Female"	"F"	"White"	"2106-3"	49932	8473210	460.5	589.3
	"All Sites Combined"	"00"	"Maine"	"23"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	116	74899	283.6	154.9
	"All Sites Combined"	"00"	"Maine"	"23"	"Male"	"M"	"Black or African American"	"2054-5"	188	106786	414.7	176.1
	"All Sites Combined"	"00"	"Maine"	"23"	"Male"	"M"	"White"	"2106-3"	53884	8077168	597.9	667.1
	"All Sites Combined"	"00"	"Maryland"	"24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	3918	1870832	245.2	209.4
	"All Sites Combined"	"00"	"Maryland"	"24"	"Female"	"F"	"Black or African American"	"2054-5"	37447	10732486	394.1	348.9
	"All Sites Combined"	"00"	"Maryland"	"24"	"Female"	"F"	"White"	"2106-3"	114693	21837793	435.4	525.2
	"All Sites Combined"	"00"	"Maryland"	"24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3251	1715297	270.0	189.5
	"All Sites Combined"	"00"	"Maryland"	"24"	"Male"	"M"	"Black or African American"	"2054-5"	37962	9380024	578.5	404.7
	"All Sites Combined"	"00"	"Maryland"	"24"	"Male"	"M"	"White"	"2106-3"	118015	21086879	543.8	559.7
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4312	2170570	281.7	198.7
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Female"	"F"	"Black or African American"	"2054-5"	8780	3264611	349.1	268.9
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Female"	"F"	"White"	"2106-3"	216923	37666908	466.6	575.9
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3870	2040291	328.3	189.7
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Male"	"M"	"Black or African American"	"2054-5"	10327	3034219	573.0	340.4
	"All Sites Combined"	"00"	"Massachusetts"	"25"	"Male"	"M"	"White"	"2106-3"	214843	35190501	587.7	610.5
	"All Sites Combined"	"00"	"Michigan"	"26"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2674	1570013	254.5	170.3
	"All Sites Combined"	"00"	"Michigan"	"26"	"Female"	"F"	"Black or African American"	"2054-5"	39106	10124456	440.7	386.3
	"All Sites Combined"	"00"	"Michigan"	"26"	"Female"	"F"	"White"	"2106-3"	279558	53806090	436.1	519.6
	"All Sites Combined"	"00"	"Michigan"	"26"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	2405	1526675	314.7	157.5
	"All Sites Combined"	"00"	"Michigan"	"26"	"Male"	"M"	"Black or African American"	"2054-5"	44920	9161199	703.7	490.3
	"All Sites Combined"	"00"	"Michigan"	"26"	"Male"	"M"	"White"	"2106-3"	305003	52424050	573.0	581.8
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1834	1296193	256.9	141.5
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Female"	"F"	"Black or African American"	"2054-5"	2964	1619329	375.4	183.0
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Female"	"F"	"White"	"2106-3"	146578	30210008	420.1	485.2
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1512	1241817	294.5	121.8
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Male"	"M"	"Black or African American"	"2054-5"	3945	1703006	595.6	231.6
	"All Sites Combined"	"00"	"Minnesota"	"27"	"Male"	"M"	"White"	"2106-3"	161887	29644803	554.1	546.1
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	248	129426	247.2	191.6
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Female"	"F"	"Black or African American"	"2054-5"	17608	5190364	393.3	339.2
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Female"	"F"	"White"	"2106-3"	40892	8161605	397.8	501.0
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	217	117935	339.3	184.0
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Male"	"M"	"Black or African American"	"2054-5"	21157	4615521	666.5	458.4
	"All Sites Combined"	"00"	"Mississippi"	"28"	"Male"	"M"	"White"	"2106-3"	48985	7960175	563.1	615.4
	"All Sites Combined"	"00"	"Missouri"	"29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	644889	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Missouri"	"29"	"Female"	"F"	"Black or African American"	"2054-5"	17635	4755112	434.1	370.9
	"All Sites Combined"	"00"	"Missouri"	"29"	"Female"	"F"	"White"	"2106-3"	168623	32938199	422.2	511.9
	"All Sites Combined"	"00"	"Missouri"	"29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	592755	Suppressed	Suppressed
	"All Sites Combined"	"00"	"Missouri"	"29"	"Male"	"M"	"Black or African American"	"2054-5"	17882	4268941	633.8	418.9
	"All Sites Combined"	"00"	"Missouri"	"29"	"Male"	"M"	"White"	"2106-3"	176579	31699465	534.3	557.0
	"All Sites Combined"	"00"	"Montana"	"30"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	136	51817	332.6	262.5
	"All Sites Combined"	"00"	"Montana"	"30"	"Female"	"F"	"Black or African American"	"2054-5"	28	30466	245.1	91.9
	"All Sites Combined"	"00"	"Montana"	"30"	"Female"	"F"	"White"	"2106-3"	29069	5629392	417.7	516.4
	"All Sites Combined"	"00"	"Montana"	"30"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	60	39319	312.7	152.6
	"All Sites Combined"	"00"	"Montana"	"30"	"Male"	"M"	"Black or African American"	"2054-5"	77	44045	471.8	174.8
	"All Sites Combined"	"00"	"Montana"	"30"	"Male"	"M"	"White"	"2106-3"	33769	5643195	536.9	598.4
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	330	212130	252.6	155.6
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Female"	"F"	"Black or African American"	"2054-5"	1548	551336	420.5	280.8
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Female"	"F"	"White"	"2106-3"	53063	10694411	419.3	496.2
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	295	198812	334.5	148.4
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Male"	"M"	"Black or African American"	"2054-5"	1765	555505	610.9	317.7
	"All Sites Combined"	"00"	"Nebraska"	"31"	"Male"	"M"	"White"	"2106-3"	56232	10464629	537.1	537.4
	"All Sites Combined"	"00"	"Nevada"	"32"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2540	1073825	249.9	236.5
	"All Sites Combined"	"00"	"Nevada"	"32"	"Female"	"F"	"Black or African American"	"2054-5"	3127	1125265	365.7	277.9
	"All Sites Combined"	"00"	"Nevada"	"32"	"Female"	"F"	"White"	"2106-3"	47905	10632826	424.0	450.5
	"All Sites Combined"	"00"	"Nevada"	"32"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1847	917482	278.4	201.3
	"All Sites Combined"	"00"	"Nevada"	"32"	"Male"	"M"	"Black or African American"	"2054-5"	3646	1149654	490.2	317.1
	"All Sites Combined"	"00"	"Nevada"	"32"	"Male"	"M"	"White"	"2106-3"	56537	11130784	531.0	507.9
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	264	172168	233.8	153.3
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Female"	"F"	"Black or African American"	"2054-5"	144	95096	288.9	151.4
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Female"	"F"	"White"	"2106-3"	43029	8194630	454.9	525.1
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	216	160374	295.8	134.7
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Male"	"M"	"Black or African American"	"2054-5"	235	115524	418.7	203.4
	"All Sites Combined"	"00"	"New Hampshire"	"33"	"Male"	"M"	"White"	"2106-3"	46328	7950186	583.0	582.7
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	9359	4350674	264.0	215.1
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Female"	"F"	"Black or African American"	"2054-5"	32297	8863398	409.1	364.4
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Female"	"F"	"White"	"2106-3"	259955	44142025	469.3	588.9
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	8211	4185738	311.7	196.2
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Male"	"M"	"Black or African American"	"2054-5"	35361	7919698	651.3	446.5
	"All Sites Combined"	"00"	"New Jersey"	"34"	"Male"	"M"	"White"	"2106-3"	266640	42146768	606.7	632.6
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	391	220560	214.5	177.3
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Female"	"F"	"Black or African American"	"2054-5"	633	306560	290.1	206.5
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Female"	"F"	"White"	"2106-3"	46340	10877698	375.0	426.0
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	317	189687	278.0	167.1
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Male"	"M"	"Black or African American"	"2054-5"	909	347185	420.4	261.8
	"All Sites Combined"	"00"	"New Mexico"	"35"	"Male"	"M"	"White"	"2106-3"	52462	10597090	484.9	495.1
	"All Sites Combined"	"00"	"New York"	"36"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	22845	9108427	287.7	250.8
	"All Sites Combined"	"00"	"New York"	"36"	"Female"	"F"	"Black or African American"	"2054-5"	84894	24258276	374.3	350.0
	"All Sites Combined"	"00"	"New York"	"36"	"Female"	"F"	"White"	"2106-3"	543674	94364683	465.0	576.1
	"All Sites Combined"	"00"	"New York"	"36"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	21679	8673264	349.9	250.0
	"All Sites Combined"	"00"	"New York"	"36"	"Male"	"M"	"Black or African American"	"2054-5"	90043	20892887	607.3	431.0
	"All Sites Combined"	"00"	"New York"	"36"	"Male"	"M"	"White"	"2106-3"	550452	89777107	591.6	613.1
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1969	1242210	247.4	158.5
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Female"	"F"	"Black or African American"	"2054-5"	47607	13518589	384.2	352.2
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Female"	"F"	"White"	"2106-3"	211225	42853802	414.1	492.9
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	1411	1163510	257.9	121.3
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Male"	"M"	"Black or African American"	"2054-5"	54765	11972220	639.4	457.4
	"All Sites Combined"	"00"	"North Carolina"	"37"	"Male"	"M"	"White"	"2106-3"	230821	41793060	549.1	552.3
	"All Sites Combined"	"00"	"North Dakota"	"38"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	59	37895	282.5	155.7
	"All Sites Combined"	"00"	"North Dakota"	"38"	"Female"	"F"	"Black or African American"	"2054-5"	30	38890	301.8	77.1
	"All Sites Combined"	"00"	"North Dakota"	"38"	"Female"	"F"	"White"	"2106-3"	18088	3602391	401.6	502.1
	"All Sites Combined"	"00"	"North Dakota"	"38"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	36	36539	292.8	98.5
	"All Sites Combined"	"00"	"North Dakota"	"38"	"Male"	"M"	"Black or African American"	"2054-5"	57	54700	388.9	104.2
